id,nombre_archivo,documento_ruta,estado_revision,requiere_ocr,campos_sin_extraer,campos_a_revisar
GAS-4AD909F5948A,Factura_2026-03-25_202785955106_V99933615.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/1TR2026/SERVIDOR/Factura_2026-03-25_202785955106_V99933615.pdf,pendiente_revision,no,concepto,emisor|fecha_emision|receptor
GAS-88F5D44C31B0,Factura_2026-02-25_202785665358_V99933615.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/1TR2026/SERVIDOR/Factura_2026-02-25_202785665358_V99933615.pdf,pendiente_revision,no,concepto,emisor|fecha_emision|receptor
GAS-26FAADF47082,Factura_2026-01-25_202785368394_V99933615.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/1TR2026/SERVIDOR/Factura_2026-01-25_202785368394_V99933615.pdf,pendiente_revision,no,concepto,emisor|fecha_emision|receptor
GAS-F5D60CC2AB68,factura_1_servicio_data.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/1TR2026/SERVICIO DATA/factura_1_servicio_data.pdf,pendiente_revision,no,emisor,numero_factura
GAS-B770E88D5EE0,INV337023537.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/1TR2026/SUMINISTROS/INV337023537.pdf,pendiente_revision,no,emisor,base_imponible|fecha_emision|iva|numero_factura|total
GAS-865800E805F2,INV345039957_A23333533_03092026.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/1TR2026/SUMINISTROS/INV345039957_A23333533_03092026.pdf,pendiente_revision,no,emisor,base_imponible|concepto|fecha_emision|iva|numero_factura|total
GAS-804511FE8931,Factura_FMPVAAJ001XXXX.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/1TR2026/SUMINISTROS/Factura_FMPVAAJ001XXXX.pdf,pendiente_revision,no,emisor|fecha_emision|concepto,base_imponible|total
GAS-B89565723FDF,factura monitor.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/1TR2026/SUMINISTROS/factura monitor.pdf,pendiente_revision,no,emisor|fecha_emision|base_imponible|concepto,total
GAS-3E05D95FAB0E,INV341096775.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/1TR2026/SUMINISTROS/INV341096775.pdf,pendiente_revision,no,emisor,base_imponible|fecha_emision|iva|numero_factura|total
GAS-42113716818E,Factura_FMPVACJ007XXXX.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/1TR2026/SUMINISTROS/Factura_FMPVACJ007XXXX.pdf,pendiente_revision,no,emisor|fecha_emision|concepto,base_imponible|total
