id_incidencia,id_documento,tipo_incidencia,severidad,documento,enlace_documento,ruta_documento,accion_aprobada_id,estado_vinculo,estado_revision,descripcion,recomendacion
INC-0001,DOC-5CBFC4A4C438,gasto_sin_justificacion,alta,MARIA JOSE MORAL.pdf,file:///Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIO%CC%81N/SUBVENCIONES/MINISTERIO%20DE%20CULTURA/Industrias%20Culturales%2025/JUSTIFICACION/datos_engira/05_PARTICIPANTES_Y_COLABORADORES/MARIA%20JOSE%20MORAL.pdf,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/05_PARTICIPANTES_Y_COLABORADORES/MARIA JOSE MORAL.pdf,ACC-ADMINISTRACION-4BB25BB8C5,automatico,revisable,Factura sin transferencia de pago detectada: MARIA JOSE MORAL.pdf,Adjuntar justificante de pago
INC-0002,DOC-53B3DED9B890,gasto_sin_justificacion,alta,Condiciones particulares - Servidores.pdf,file:///Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIO%CC%81N/SUBVENCIONES/MINISTERIO%20DE%20CULTURA/Industrias%20Culturales%2025/JUSTIFICACION/datos_engira/05_PARTICIPANTES_Y_COLABORADORES/servidor/Condiciones%20particulares%20-%20Servidores.pdf,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/05_PARTICIPANTES_Y_COLABORADORES/servidor/Condiciones particulares - Servidores.pdf,ACC-SOPORTE-TECNICO-Y--F45DA80C53,automatico,revisable,Factura sin transferencia de pago detectada: Condiciones particulares - Servidores.pdf,Adjuntar justificante de pago
INC-0003,DOC-22CF6A493562,gasto_sin_justificacion,alta,relacion_gastos.xlsx,file:///Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIO%CC%81N/SUBVENCIONES/MINISTERIO%20DE%20CULTURA/Industrias%20Culturales%2025/JUSTIFICACION/datos_engira/08_JUSTIFICACION_ECONOMICA/relacion_gastos.xlsx,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/08_JUSTIFICACION_ECONOMICA/relacion_gastos.xlsx,ACC-ADMINISTRACION-1FE0EB5C6C,automatico,revisable,Factura sin transferencia de pago detectada: relacion_gastos.xlsx,Adjuntar justificante de pago
INC-0004,DOC-14A88B4716E6,gasto_sin_justificacion,alta,factura monitor.pdf,file:///Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIO%CC%81N/SUBVENCIONES/MINISTERIO%20DE%20CULTURA/Industrias%20Culturales%2025/JUSTIFICACION/datos_engira/08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES%20EXTERNOS/1TR2026/SUMINISTROS/factura%20monitor.pdf,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/1TR2026/SUMINISTROS/factura monitor.pdf,ACC-ADMINISTRACION-A0CC1B65E1,automatico,revisable,Factura sin transferencia de pago detectada: factura monitor.pdf,Adjuntar justificante de pago
INC-0005,DOC-53FECA18BC56,gasto_sin_justificacion,alta,factura pie de tv.pdf,file:///Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIO%CC%81N/SUBVENCIONES/MINISTERIO%20DE%20CULTURA/Industrias%20Culturales%2025/JUSTIFICACION/datos_engira/08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES%20EXTERNOS/3TR2025/COMERCIALIZACI%C3%93N/MERCARTES/PRODUCCIO%CC%81N/factura%20pie%20de%20tv.pdf,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/COMERCIALIZACIÓN/MERCARTES/PRODUCCIÓN/factura pie de tv.pdf,ACC-ADMINISTRACION-A0CC1B65E1,automatico,revisable,Factura sin transferencia de pago detectada: factura pie de tv.pdf,Adjuntar justificante de pago
INC-0006,DOC-F8476FF68532,gasto_sin_justificacion,alta,Factura STAND ENGIRA!.pdf,file:///Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIO%CC%81N/SUBVENCIONES/MINISTERIO%20DE%20CULTURA/Industrias%20Culturales%2025/JUSTIFICACION/datos_engira/08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES%20EXTERNOS/3TR2025/COMERCIALIZACI%C3%93N/MERCARTES/PRODUCCIO%CC%81N/Factura%20STAND%20ENGIRA%21.pdf,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/COMERCIALIZACIÓN/MERCARTES/PRODUCCIÓN/Factura STAND ENGIRA!.pdf,ACC-COMERCIALIZACION-8BC2ED0AC1,automatico,revisable,Factura sin transferencia de pago detectada: Factura STAND ENGIRA!.pdf,Adjuntar justificante de pago
INC-0007,DOC-B1FD7CF06C7B,gasto_sin_justificacion,alta,Factura pccomponentes TV.pdf,file:///Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIO%CC%81N/SUBVENCIONES/MINISTERIO%20DE%20CULTURA/Industrias%20Culturales%2025/JUSTIFICACION/datos_engira/08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES%20EXTERNOS/3TR2025/COMERCIALIZACI%C3%93N/MERCARTES/PRODUCCIO%CC%81N/Factura%20pccomponentes%20TV.pdf,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/COMERCIALIZACIÓN/MERCARTES/PRODUCCIÓN/Factura pccomponentes TV.pdf,ACC-ADMINISTRACION-A0CC1B65E1,automatico,revisable,Factura sin transferencia de pago detectada: Factura pccomponentes TV.pdf,Adjuntar justificante de pago
INC-0008,DOC-63BABA198D2C,gasto_sin_justificacion,alta,Factura_Mercartes_2025_C752426 (1).pdf,file:///Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIO%CC%81N/SUBVENCIONES/MINISTERIO%20DE%20CULTURA/Industrias%20Culturales%2025/JUSTIFICACION/datos_engira/08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES%20EXTERNOS/3TR2025/COMERCIALIZACI%C3%93N/MERCARTES/DIETAS/Factura_Mercartes_2025_C752426%20%281%29.pdf,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/COMERCIALIZACIÓN/MERCARTES/DIETAS/Factura_Mercartes_2025_C752426 (1).pdf,ACC-ADMINISTRACION-A0CC1B65E1,automatico,revisable,Factura sin transferencia de pago detectada: Factura_Mercartes_2025_C752426 (1).pdf,Adjuntar justificante de pago
INC-0009,DOC-789B9A72941E,gasto_sin_justificacion,alta,Factura_Mercartes_2025_C752426 (2).pdf,file:///Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIO%CC%81N/SUBVENCIONES/MINISTERIO%20DE%20CULTURA/Industrias%20Culturales%2025/JUSTIFICACION/datos_engira/08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES%20EXTERNOS/3TR2025/COMERCIALIZACI%C3%93N/MERCARTES/DIETAS/Factura_Mercartes_2025_C752426%20%282%29.pdf,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/COMERCIALIZACIÓN/MERCARTES/DIETAS/Factura_Mercartes_2025_C752426 (2).pdf,ACC-ADMINISTRACION-A0CC1B65E1,automatico,revisable,Factura sin transferencia de pago detectada: Factura_Mercartes_2025_C752426 (2).pdf,Adjuntar justificante de pago
INC-0010,DOC-80FE826B4A99,gasto_sin_justificacion,alta,Factura_Mercartes_2025_C752426 (5).pdf,file:///Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIO%CC%81N/SUBVENCIONES/MINISTERIO%20DE%20CULTURA/Industrias%20Culturales%2025/JUSTIFICACION/datos_engira/08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES%20EXTERNOS/3TR2025/COMERCIALIZACI%C3%93N/MERCARTES/DIETAS/Factura_Mercartes_2025_C752426%20%285%29.pdf,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/COMERCIALIZACIÓN/MERCARTES/DIETAS/Factura_Mercartes_2025_C752426 (5).pdf,ACC-ADMINISTRACION-A0CC1B65E1,automatico,revisable,Factura sin transferencia de pago detectada: Factura_Mercartes_2025_C752426 (5).pdf,Adjuntar justificante de pago
