Ruta Relativa,Nombre Archivo,Extensión,Tamaño (bytes),Categoría,Fecha Modificación,Ruta Absoluta
00_BASES_Y_RESOLUCION/.DS_Store,.DS_Store,,6148,otro,2026-07-25T17:20:28.735595,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/00_BASES_Y_RESOLUCION/.DS_Store
00_BASES_Y_RESOLUCION/BASES/Papel de trabajo.pdf,Papel de trabajo.pdf,.pdf,377766,documento,2025-04-13T08:09:54,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/00_BASES_Y_RESOLUCION/BASES/Papel de trabajo.pdf
00_BASES_Y_RESOLUCION/resoluci-n--de-concesi-n.pdf,resoluci-n--de-concesi-n.pdf,.pdf,341277,documento,2025-11-18T12:42:45,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/00_BASES_Y_RESOLUCION/resoluci-n--de-concesi-n.pdf
01_PROYECTO_PRESENTADO/Innovación_-_Autónomos_-_Curriculum_y_Proyecto.docx,Innovación_-_Autónomos_-_Curriculum_y_Proyecto.docx,.docx,122292,documento,2025-04-30T13:51:52,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/01_PROYECTO_PRESENTADO/Innovación_-_Autónomos_-_Curriculum_y_Proyecto.docx
01_PROYECTO_PRESENTADO/Innovación_-_Autónomos_-_Presupuesto.docx,Innovación_-_Autónomos_-_Presupuesto.docx,.docx,48760,documento,2025-04-30T13:57:14,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/01_PROYECTO_PRESENTADO/Innovación_-_Autónomos_-_Presupuesto.docx
01_PROYECTO_PRESENTADO/Innovación_-_Cronograma_de_desarrollo__por_fases.docx,Innovación_-_Cronograma_de_desarrollo__por_fases.docx,.docx,31890,documento,2025-04-30T13:53:24,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/01_PROYECTO_PRESENTADO/Innovación_-_Cronograma_de_desarrollo__por_fases.docx
02_ACTIVIDADES_REALIZADAS/.DS_Store,.DS_Store,,10244,otro,2026-07-25T17:20:28.723497,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/02_ACTIVIDADES_REALIZADAS/.DS_Store
02_ACTIVIDADES_REALIZADAS/ANALISIS/.DS_Store,.DS_Store,,6148,otro,2026-07-25T17:20:28.733553,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/02_ACTIVIDADES_REALIZADAS/ANALISIS/.DS_Store
02_ACTIVIDADES_REALIZADAS/ANALISIS/ANALISIS_CAMPAÑAS_HISTORICAS/.DS_Store,.DS_Store,,6148,otro,2026-07-25T17:20:28.734489,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/02_ACTIVIDADES_REALIZADAS/ANALISIS/ANALISIS_CAMPAÑAS_HISTORICAS/.DS_Store
02_ACTIVIDADES_REALIZADAS/ANALISIS/ANALISIS_CAMPAÑAS_HISTORICAS/outputs/.DS_Store,.DS_Store,,6148,otro,2026-07-25T15:12:53.115567,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/02_ACTIVIDADES_REALIZADAS/ANALISIS/ANALISIS_CAMPAÑAS_HISTORICAS/outputs/.DS_Store
02_ACTIVIDADES_REALIZADAS/ANALISIS/ANALISIS_CAMPAÑAS_HISTORICAS/outputs/graficos/.gitkeep,.gitkeep,,0,otro,2026-04-08T11:05:32.015232,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/02_ACTIVIDADES_REALIZADAS/ANALISIS/ANALISIS_CAMPAÑAS_HISTORICAS/outputs/graficos/.gitkeep
02_ACTIVIDADES_REALIZADAS/ANALISIS/ANALISIS_CAMPAÑAS_HISTORICAS/outputs/graficos/boxplot_rendimiento_clickrate.png,boxplot_rendimiento_clickrate.png,.png,18576,imagen,2026-04-20T12:24:28.813305,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/02_ACTIVIDADES_REALIZADAS/ANALISIS/ANALISIS_CAMPAÑAS_HISTORICAS/outputs/graficos/boxplot_rendimiento_clickrate.png
02_ACTIVIDADES_REALIZADAS/ANALISIS/ANALISIS_CAMPAÑAS_HISTORICAS/outputs/graficos/engagement_por_tematica.png,engagement_por_tematica.png,.png,26992,imagen,2026-04-20T12:24:28.551517,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/02_ACTIVIDADES_REALIZADAS/ANALISIS/ANALISIS_CAMPAÑAS_HISTORICAS/outputs/graficos/engagement_por_tematica.png
02_ACTIVIDADES_REALIZADAS/ANALISIS/ANALISIS_CAMPAÑAS_HISTORICAS/outputs/graficos/estacionalidad_mensual.png,estacionalidad_mensual.png,.png,63801,imagen,2026-04-20T12:24:28.689154,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/02_ACTIVIDADES_REALIZADAS/ANALISIS/ANALISIS_CAMPAÑAS_HISTORICAS/outputs/graficos/estacionalidad_mensual.png
02_ACTIVIDADES_REALIZADAS/ANALISIS/ANALISIS_CAMPAÑAS_HISTORICAS/outputs/graficos/evolucion_anual_openrate.png,evolucion_anual_openrate.png,.png,16455,imagen,2026-04-16T10:22:54.660866,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/02_ACTIVIDADES_REALIZADAS/ANALISIS/ANALISIS_CAMPAÑAS_HISTORICAS/outputs/graficos/evolucion_anual_openrate.png
02_ACTIVIDADES_REALIZADAS/ANALISIS/ANALISIS_CAMPAÑAS_HISTORICAS/outputs/graficos/heatmap_tematica_publico.png,heatmap_tematica_publico.png,.png,38850,imagen,2026-04-20T12:24:28.873287,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/02_ACTIVIDADES_REALIZADAS/ANALISIS/ANALISIS_CAMPAÑAS_HISTORICAS/outputs/graficos/heatmap_tematica_publico.png
02_ACTIVIDADES_REALIZADAS/ANALISIS/ANALISIS_CAMPAÑAS_HISTORICAS/outputs/graficos/rendimiento_dia_semana.png,rendimiento_dia_semana.png,.png,22939,imagen,2026-04-20T12:24:28.771024,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/02_ACTIVIDADES_REALIZADAS/ANALISIS/ANALISIS_CAMPAÑAS_HISTORICAS/outputs/graficos/rendimiento_dia_semana.png
02_ACTIVIDADES_REALIZADAS/ANALISIS/ANALISIS_CAMPAÑAS_HISTORICAS/outputs/graficos/scatter_volumen_openrate.png,scatter_volumen_openrate.png,.png,41447,imagen,2026-04-20T12:24:28.923949,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/02_ACTIVIDADES_REALIZADAS/ANALISIS/ANALISIS_CAMPAÑAS_HISTORICAS/outputs/graficos/scatter_volumen_openrate.png
02_ACTIVIDADES_REALIZADAS/ANALISIS/ANALISIS_CAMPAÑAS_HISTORICAS/outputs/informes/.gitkeep,.gitkeep,,0,otro,2026-04-08T11:05:47.454588,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/02_ACTIVIDADES_REALIZADAS/ANALISIS/ANALISIS_CAMPAÑAS_HISTORICAS/outputs/informes/.gitkeep
02_ACTIVIDADES_REALIZADAS/ANALISIS/ANALISIS_CAMPAÑAS_HISTORICAS/outputs/informes/insights_finales.txt,insights_finales.txt,.txt,463,otro,2026-04-20T12:24:28.925561,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/02_ACTIVIDADES_REALIZADAS/ANALISIS/ANALISIS_CAMPAÑAS_HISTORICAS/outputs/informes/insights_finales.txt
02_ACTIVIDADES_REALIZADAS/ANALISIS/INSTAGRAM_AUDIENCE_ANALYTICS/audience.png,audience.png,.png,478940,imagen,2026-03-26T14:43:39.974878,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/02_ACTIVIDADES_REALIZADAS/ANALISIS/INSTAGRAM_AUDIENCE_ANALYTICS/audience.png
02_ACTIVIDADES_REALIZADAS/ANALISIS/INSTAGRAM_AUDIENCE_ANALYTICS/comportamiento.png,comportamiento.png,.png,344669,imagen,2026-03-26T14:43:52.178527,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/02_ACTIVIDADES_REALIZADAS/ANALISIS/INSTAGRAM_AUDIENCE_ANALYTICS/comportamiento.png
02_ACTIVIDADES_REALIZADAS/ANALISIS/INSTAGRAM_AUDIENCE_ANALYTICS/engagement.png,engagement.png,.png,379501,imagen,2026-03-26T21:30:59.081508,/Users/usuario/Desktop/PROFESIONAL/enGira/FINANCIACIÓN/SUBVENCIONES/MINISTERIO DE CULTURA/Industrias Culturales 25/JUSTIFICACION/datos_engira/02_ACTIVIDADES_REALIZADAS/ANALISIS/INSTAGRAM_AUDIENCE_ANALYTICS/engagement.png
